tag,preferred_cn,alternatives,category,post_count,confidence,source,notes
original,原创,original_character|/o,3,1450783,0.87,byzod+2026-04,byzod exact match
touhou,东方,toho|/to,3,1030168,0.87,byzod+2026-04,byzod exact match
kantai_collection,舰队收藏,kankore|kancolle|舰C,3,529537,0.87,byzod+2026-04,byzod exact match
blue_archive,碧蓝档案,蔚蓝档案|Blue Archive|BA,3,388689,0.94,official/community review,热门二游大 IP 已覆盖；补充常见地区译名和英文缩写用于搜索
fate_(series),Fate系列,,3,386497,0.82,byzod+ai校对+社区主流,byzod'命运（系列）'可更自然简写，社区常用'Fate系列'
pokemon,宝可梦,pokémon|pokemons|pocket_monsters,3,368196,0.82,byzod+ai校对+社区主流,byzod旧译'宠物小精灵'已过时；社区/官方现主流'宝可梦'
hololive,hololive,,3,298071,0.82,byzod+ai校对+社区主流,byzod'木口社（vtb）'不精确；品牌专有名称社区多保留'hololive'或'holo社'，暂用原文
fate/grand_order,Fate/Grand Order,fgo,3,288699,0.82,byzod+ai校对+社区主流,byzod'命运/大订单'直译；国际/社区通用'Fate/Grand Order' (FGO)
genshin_impact,原神,genshin,3,287511,0.87,byzod+2026-04,byzod exact match
idolmaster,偶像大师,the_idolmaster|idolm@ster|idol_master,3,269525,0.87,byzod+2026-04,byzod exact match
arknights,明日方舟,mingri_fangzhou,3,194678,0.87,byzod+2026-04,byzod exact match
umamusume,赛马娘,uma_musume,3,192771,0.87,byzod+2026-04,byzod exact match
vocaloid,VOCALOID,vocaloid_3|/vo|vocaloid_2,3,192217,0.87,byzod+2026-04,byzod exact match
honkai_(series),崩坏（系列）,,3,166665,0.87,byzod+2026-04,byzod exact match
azur_lane,碧蓝航线,bilan_hangxian,3,150099,0.87,byzod+2026-04,byzod exact match
idolmaster_cinderella_girls,偶像大师灰姑娘女孩,cinderella_girls,3,132594,0.87,byzod+2026-04,byzod exact match
love_live!,Love Live!,lovelive|爱生活,3,119662,0.94,official/community review,专有企划名，中文社区和官方物料通常保留 Love Live!；修正 byzod 误译“爱生活！”
honkai:_star_rail,崩坏：星穹铁道,,3,116890,0.92,2026-04 index,官方译名《崩坏：星穹铁道》 (HoYoverse官网 hsr.hoyoverse.com + 维基百科；byzod exact tag miss，2026搜索校对补录)
fire_emblem,火焰纹章,Fire Emblem|火焰之纹章,3,115342,0.92,official/community review,统一为简体社区/官方常用“火焰纹章”
hololive_english,holoen(皮套人),,3,101233,0.87,byzod+2026-04,byzod exact match
final_fantasy,最终幻想,/ff|finalfantasy,3,100899,0.87,byzod+2026-04,byzod exact match
nijisanji,彩虹社(vtb),,3,82716,0.87,byzod+2026-04,byzod exact match
