tag,preferred_cn,alternatives,category,post_count,confidence,source,notes
1girl,1girl,女孩|少女|女孩子|女の子|女性|少女|女子|女孩,0,4974288,0.97,byzod+ai,[Manual] 核心tag保持英文+丰富中文别名
solo,solo,单人|独自一人,0,4005860,0.97,byzod+ai,[Manual] 核心保持英文
long_hair,长发,长头发|長髪|黒髪ロング|金髪ロング|长发|長髪けもフレ,0,3608339,0.97,byzod+ai,[Manual] 标准
breasts,胸部,乳房|胸|極上の乳|大艦巨乳主義|美乳|乳神様|天乳,0,3157499,0.97,byzod+ai,[Manual] 通用干净表达
looking_at_viewer,看着你,看向观众|直视镜头|对视|カメラ目線,0,2903688,0.97,byzod+ai,[Manual] 强调互动感，比日式'相机目线'自然
blush,脸红,脸红的|赤面|脸红|赤面|頬染め|紅潮,0,2535113,0.97,byzod+ai,[Manual] 简洁自然
smile,微笑,笑|笑容|笑脸|笑い|笑顔|笑顏|守りたい、この笑顔|笑,0,2294308,0.97,byzod+ai,[Manual] 最常用
open_mouth,张嘴,张开嘴|嘴巴微张|開口|開いた口|口を開ける,0,1906325,0.97,byzod+ai,[Manual] 动词更自然
short_hair,短发,短头发|短髪|黒髪ショート|短发,0,1629090,0.97,byzod+ai,[Manual] 标准
simple_background,简洁背景,素色背景|纯色背景,0,1518705,0.97,byzod+ai,[Manual] 比'朴素的背景'更专业
large_breasts,巨乳,大胸|丰满胸部(E+)|巨乳|美巨乳|大きな乳房|豊乳|着衣巨乳,0,1471472,0.97,byzod+ai,[Manual] 社区标准
shirt,衬衫,上衣|襯衫|衬衫|上衣,0,1448937,0.97,byzod+ai,[Manual] 标准
blue_eyes,蓝眼睛,蓝眼|碧眼|青い目|藍眼睛|蓝眼睛|金髪碧眼,0,1409152,0.97,byzod+ai,[Manual] 自然
skirt,短裙,裙子|裙,0,1273613,0.97,byzod+ai,[Manual] Danbooru里绝大多数是短裙
white_background,白色背景,白背景,0,1265728,0.93,byzod+ai,来自byzod高质量包+清洗
long_sleeves,长袖,長袖,0,1250530,0.93,byzod+ai,来自byzod高质量包+清洗
blonde_hair,金发,金髪|金髮|金发|金髪碧眼|金髮碧眼,0,1199644,0.93,byzod+ai,来自byzod高质量包+清洗
hair_ornament,发饰,髪飾り|发饰,0,1190764,0.93,byzod+ai,来自byzod高质量包+清洗
black_hair,黑发,黒髪|黒髪ロング|黒髪ショート|黒髪ボブ|黑发,0,1188777,0.93,byzod+ai,来自byzod高质量包+清洗
brown_hair,棕发,茶髪|茶髪ロング,0,1147531,0.93,byzod+ai,来自byzod高质量包+清洗
multiple_girls,多个女孩,群像|多女性,0,1116912,0.93,byzod+ai,来自byzod高质量包+清洗
gloves,手套,手袋|裸手袋|手袋コキ|手套,0,1105296,0.93,byzod+ai,来自byzod高质量包+清洗
holding,拿着,,0,1089329,0.93,byzod+ai,来自byzod高质量包+清洗
navel,肚脐,臍|へそ出し|指を突っ込みたいへそ|肚脐,0,1067528,0.93,byzod+ai,来自byzod高质量包+清洗
dress,连衣裙,ワンピース服|连衣裙,0,1052374,0.93,byzod+ai,来自byzod高质量包+清洗
red_eyes,红眼,赤目|赤眼|赤い目|銀髪赤眼|銀髮赤眼,0,1047308,0.93,byzod+ai,来自byzod高质量包+清洗
hair_between_eyes,延伸到两眼之间的,延伸到两眼之间的刘海,0,1025094,0.86,byzod+ai,Byzod长描述→缩短主显示
animal_ears,兽耳,动物耳朵|兽娘耳|獣娘|獣耳|ケモ耳|獸耳|兽耳,0,1010004,0.97,byzod+ai,[Manual] 社区标准
thighhighs,过膝袜,大腿袜|长筒袜|过膝袜|长筒袜|大腿袜,0,985368,0.97,byzod+ai,[Manual] 标准服装
closed_mouth,闭着的嘴,閉口|口を閉じる,0,979176,0.93,byzod+ai,来自byzod高质量包+清洗
bow,蝴蝶结,蝶結び|蝶々結び|蝴蝶结,0,952699,0.93,byzod+ai,来自byzod高质量包+清洗
cleavage,乳沟,胸の谷間|魅惑の谷間|けしからん谷間|挟まれたい谷間|乳溝,0,929898,0.93,byzod+ai,来自byzod高质量包+清洗
hat,帽子,帽子|裸帽子,0,898595,0.93,byzod+ai,来自byzod高质量包+清洗
bare_shoulders,露肩,肩出し|露肩装|露肩,0,892521,0.93,byzod+ai,来自byzod高质量包+清洗
1boy,1boy,男孩|男孩子|男の子|男|少年|男の娘|長髪男子,0,887987,0.97,byzod+ai,[Manual] 同上
jewelry,珠宝,宝飾品|珠宝首饰|珠宝,0,864539,0.93,byzod+ai,来自byzod高质量包+清洗
ribbon,丝带|缎带,丝带|絲帶|缎带|紐タイ,0,864066,0.93,byzod+ai,来自byzod高质量包+清洗
very_long_hair,很长的头发,超ロングヘア|超长发,0,836973,0.93,byzod+ai,来自byzod高质量包+清洗
medium_breasts,中等胸部,中胸|普通胸部(C)|普通乳|普乳,0,803763,0.97,byzod+ai,[Manual] 保留社区常用尺寸分类
sitting,坐姿,坐着|坐下|座る|座り|椅子尻,0,789325,0.97,byzod+ai,[Manual] 构图/姿势语境更专业
2girls,2个女性,,0,766897,0.93,byzod+ai,来自byzod高质量包+清洗
standing,站姿,站立|站着|立つ|立ち絵,0,752769,0.97,byzod+ai,[Manual] 与坐姿对称
jacket,夹克,上着|夹克,0,729208,0.93,byzod+ai,来自byzod高质量包+清洗
nipples,乳头,乳首,0,726995,0.93,byzod+ai,来自byzod高质量包+清洗
twintails,双马尾,双尾|双麻花辫|双马尾|雙馬尾|二つ結い|いいツインテールの日|金髪ツインテール,0,721356,0.97,byzod+ai,[Manual] 标准
collarbone,锁骨,鎖骨|锁骨,0,720127,0.93,byzod+ai,来自byzod高质量包+清洗
white_shirt,白衬衫,白いシャツ,0,715876,0.93,byzod+ai,来自byzod高质量包+清洗
underwear,内衣,下着|肌着|下着艦娘|白下着|胖次,0,706551,0.93,byzod+ai,来自byzod高质量包+清洗
purple_eyes,紫发,紫目|紫眼,0,685847,0.93,byzod+ai,来自byzod高质量包+清洗
tail,尾巴,动物尾巴|兽尾|尻尾|もふりたい尻尾|尾巴,0,678547,0.97,byzod+ai,[Manual] 语义优先：必须用自然中文'尾巴'，绝不用'尻尾'
blue_hair,蓝发,青髪|青い髪|水色髪,0,676176,0.93,byzod+ai,来自byzod高质量包+清洗
brown_eyes,棕眼,茶目,0,663616,0.93,byzod+ai,来自byzod高质量包+清洗
green_eyes,绿眼,翠眼|緑眼|緑目,0,660136,0.93,byzod+ai,来自byzod高质量包+清洗
full_body,全身像,全身视图|全身|全身絵|全景镜头,0,642669,0.97,byzod+ai,[Manual] 构图术语
multicolored_hair,多色的头发,多色髪,0,603947,0.93,byzod+ai,来自byzod高质量包+清洗
swimsuit,泳装,水着|エロ水着|水着艦娘|泳装|泳衣,0,603931,0.93,byzod+ai,来自byzod高质量包+清洗
upper_body,上半身,胸以上构图|上半身|中近景镜头,0,590960,0.97,byzod+ai,[Manual] 构图术语
white_hair,白发,白髪,0,588991,0.93,byzod+ai,来自byzod高质量包+清洗
panties,内裤,胖次|底裤|高品質パンツ|お子様パンツ|剥ぎ取りたいパンツ|嫌パン|女児ぱんつ,0,581788,0.97,byzod+ai,[Manual] 主用自然词，保留社区梗
grey_hair,灰发,灰色头发|银灰发|白髪|銀髪|銀髪ロング,0,574323,0.97,byzod+ai,[Manual] 修正原数据把grey_hair错标白发的错误
pink_hair,粉红色的头发,ピンク髪|ピンク髪ロング|ピンクは淫乱,0,573399,0.93,byzod+ai,来自byzod高质量包+清洗
yellow_eyes,金眼,黄色眼|黄色目|黄眼|金眼|金目,0,572334,0.93,byzod+ai,来自byzod高质量包+清洗
school_uniform,校服,学生制服|JK制服|学生服|女子高生|学校制服|制服裸足|校服,0,566348,0.97,byzod+ai,[Manual] 最常用
sidelocks,披在耳前的发绺,横髪|边落|耳前侧发|鬓发,0,545271,0.93,byzod+ai,来自byzod高质量包+清洗
ahoge,呆毛,啊嘿毛|一根呆毛|アホ毛|呆毛,0,541349,0.97,byzod+ai,[Manual] ACG标准术语
ass,屁股,お尻|尻|尻神様|極上の尻|ねじ込みたい尻,0,534129,0.93,byzod+ai,来自byzod高质量包+清洗
thighs,大腿,太もも|魅惑のふともも|魅惑の太もも|ふとももの罠|腿,0,532440,0.93,byzod+ai,来自byzod高质量包+清洗
purple_hair,紫发,紫髪,0,523624,0.93,byzod+ai,来自byzod高质量包+清洗
braid,辫子,三つ編み|麻花辫|辫|辫子,0,520847,0.93,byzod+ai,来自byzod高质量包+清洗
cowboy_shot,七分身,牛仔镜头|半身偏下构图|中景镜头,0,507095,0.97,byzod+ai,[Manual] 中文社区真实构图说法
closed_eyes,闭上的眼睛,瞑目|闭眼,0,498160,0.93,byzod+ai,来自byzod高质量包+清洗
short_sleeves,短袖,半袖,0,494991,0.93,byzod+ai,来自byzod高质量包+清洗
hair_ribbon,发带,,0,491768,0.93,byzod+ai,来自byzod高质量包+清洗
heart,心|心形|爱心,ハート形|爱心|红桃,0,490146,0.93,byzod+ai,来自byzod高质量包+清洗
flower,花,花|以花咏画|花と女の子,0,480748,0.93,byzod+ai,来自byzod高质量包+清洗
ponytail,马尾,黒髪ポニーテール|马尾,0,480649,0.93,byzod+ai,来自byzod高质量包+清洗
hetero,异性,男女|NL|男女カプ|イナゴ男女カプ|男の娘×女の子|異性愛,0,469229,0.97,byzod+ai,[Manual] 简洁
pantyhose,连裤袜,裤袜|黑丝袜|黒タイツ|黒パンスト|白タイツ|タイツの日|ストッキングの日,0,467351,0.97,byzod+ai,[Manual] 标准
